year,date,median,low,high
2020,2020-02-04,7.0,0,26
2020,2020-02-05,7.0,0,26
2020,2020-02-06,7.0,0,25
2020,2020-02-07,8.0,0,28
2020,2020-02-08,7.0,0,25
2020,2020-02-09,5.0,0,18
2020,2020-02-10,7.0,0,26
2020,2020-02-11,7.0,0,25
2020,2020-02-12,8.0,0,27
2020,2020-02-13,7.0,0,25
2020,2020-02-14,8.5,0,28
2020,2020-02-15,6.0,0,22
2020,2020-02-16,5.0,0,19
2020,2020-02-17,6.0,0,21
2020,2020-02-18,6.0,0,24
2020,2020-02-19,7.0,0,25
2020,2020-02-20,7.0,0,27
2020,2020-02-21,8.0,0,27
2020,2020-02-22,7.0,0,24
2020,2020-02-23,5.0,0,19
2020,2020-02-24,7.0,0,27
2020,2020-02-25,5.0,0,20
2020,2020-02-26,8.0,0,28
2020,2020-02-27,8.0,0,28
2020,2020-02-28,8.0,0,28
2020,2020-02-29,6.0,0,23
2020,2020-03-01,5.0,0,18
2020,2020-03-02,6.0,0,24
2020,2020-03-03,6.0,0,23
2020,2020-03-04,6.5,0,24
2020,2020-03-05,7.0,0,24
2020,2020-03-06,7.0,0,24
2020,2020-03-07,6.0,0,22
2020,2020-03-08,4.0,0,16
2020,2020-03-09,6.0,0,23
2020,2020-03-10,6.0,0,22
2020,2020-03-11,6.0,0,22
2020,2020-03-12,6.0,0,20
2020,2020-03-13,6.0,0,21
2020,2020-03-14,4.0,0,15
2020,2020-03-15,3.0,0,12
2020,2020-03-16,3.0,0,13
2020,2020-03-17,3.0,0,12
2020,2020-03-18,3.0,0,12
2020,2020-03-19,2.0,0,10
2020,2020-03-20,2.0,0,9
2020,2020-03-21,1.0,0,6
2020,2020-03-22,1.0,0,6
2020,2020-03-23,1.0,0,7
2020,2020-03-24,1.0,0,7
2020,2020-03-25,1.0,0,8
2020,2020-03-26,1.0,0,7
2020,2020-03-27,1.0,0,7
2020,2020-03-28,1.0,0,6
2020,2020-03-29,1.0,0,5
2020,2020-03-30,1.0,0,6
2020,2020-03-31,1.0,0,6
2020,2020-04-01,1.0,0,7
2020,2020-04-02,1.0,0,7
2020,2020-04-03,1.0,0,7
2020,2020-04-04,1.0,0,7
2020,2020-04-05,0.0,0,4
2020,2020-04-06,1.0,0,6
2020,2020-04-07,1.0,0,6
2020,2020-04-08,1.0,0,6
2020,2020-04-09,1.0,0,6
2020,2020-04-10,1.0,0,6
2020,2020-04-11,1.0,0,7
2020,2020-04-12,0.0,0,4
2020,2020-04-13,1.0,0,5
2020,2020-04-14,1.0,0,6
2020,2020-04-15,1.0,0,7
2020,2020-04-16,1.0,0,7
2020,2020-04-17,1.0,0,7
2020,2020-04-18,1.0,0,6
2020,2020-04-19,1.0,0,6
2020,2020-04-20,1.0,0,6
2020,2020-04-21,1.0,0,6
2020,2020-04-22,1.0,0,7
2020,2020-04-23,1.0,0,7
2020,2020-04-24,1.0,0,7
2020,2020-04-25,1.0,0,8
2020,2020-04-26,0.0,0,4
2020,2020-04-27,1.0,0,7
2020,2020-04-28,1.0,0,8
2020,2020-04-29,1.0,0,7
2020,2020-04-30,1.0,0,7
2020,2020-05-01,1.0,0,8
2020,2020-05-02,1.0,0,9
2020,2020-05-03,1.0,0,7
2020,2020-05-04,1.0,0,7
2020,2020-05-05,1.0,0,8
2020,2020-05-06,1.0,0,7
2020,2020-05-07,1.0,0,8
2020,2020-05-08,1.0,0,7
2020,2020-05-09,1.0,0,8
2020,2020-05-10,1.0,0,7
2020,2020-05-11,1.0,0,7
2020,2020-05-12,1.0,0,8
2020,2020-05-13,1.0,0,8
2020,2020-05-14,1.0,0,8
2020,2020-05-15,1.0,0,9
2020,2020-05-16,1.0,0,8
2020,2020-05-17,1.0,0,7
2020,2020-05-18,1.0,0,8
2020,2020-05-19,2.0,0,9
2020,2020-05-20,2.0,0,9
2020,2020-05-21,2.0,0,9
2020,2020-05-22,2.0,0,9
2020,2020-05-23,1.0,0,7
2020,2020-05-24,1.0,0,7
2020,2020-05-25,1.0,0,7
2020,2020-05-26,2.0,0,9
2020,2020-05-27,2.0,0,9
2020,2020-05-28,2.0,0,9
2020,2020-05-29,2.0,0,10
2020,2020-05-30,1.0,0,9
2020,2020-05-31,1.0,0,8
2020,2020-06-01,2.0,0,9
2020,2020-06-02,2.0,0,9
2020,2020-06-03,2.0,0,9
2020,2020-06-04,2.0,0,9
2020,2020-06-05,2.0,0,10
2020,2020-06-06,1.0,0,9
2020,2020-06-07,1.0,0,8
2020,2020-06-08,2.0,0,10
2020,2020-06-09,2.0,0,10
2020,2020-06-10,2.0,0,10
2020,2020-06-11,2.0,0,9
2020,2020-06-12,2.0,0,11
2020,2020-06-13,2.0,0,10
2020,2020-06-14,1.0,0,8
2020,2020-06-15,2.0,0,10
2020,2020-06-16,2.0,0,10
2020,2020-06-17,2.0,0,10
2020,2020-06-18,2.0,0,10
2020,2020-06-19,2.0,0,11
2020,2020-06-20,1.0,0,9
2020,2020-06-21,1.0,0,7
2020,2020-06-22,2.0,0,10
2020,2020-06-23,2.0,0,10
2020,2020-06-24,3.0,0,12
2020,2020-06-25,3.0,0,12
2020,2020-06-26,3.0,0,12
2020,2020-06-27,2.0,0,10
2020,2020-06-28,2.0,0,9
2020,2020-06-29,2.0,0,10
2020,2020-06-30,3.0,0,11
2020,2020-07-01,2.0,0,10
2020,2020-07-02,2.0,0,11
2020,2020-07-03,2.0,0,11
2020,2020-07-04,1.0,0,8
2020,2020-07-05,1.0,0,8
2020,2020-07-06,2.0,0,10
2020,2020-07-07,2.0,0,10
2020,2020-07-08,2.0,0,10
2020,2020-07-09,3.0,0,12
2020,2020-07-10,2.0,0,9
2020,2020-07-11,2.0,0,10
2020,2020-07-12,1.0,0,8
2020,2020-07-13,3.0,0,12
2020,2020-07-14,3.0,0,12
2020,2020-07-15,3.0,0,12
2020,2020-07-16,3.0,0,12
2020,2020-07-17,3.0,0,12
2020,2020-07-18,2.0,0,10
2020,2020-07-19,1.0,0,8
2020,2020-07-20,2.0,0,10
2020,2020-07-21,3.0,0,12
2020,2020-07-22,3.0,0,12
2020,2020-07-23,3.0,0,11
2020,2020-07-24,3.0,0,12
2020,2020-07-25,2.0,0,11
2020,2020-07-26,2.0,0,9
2020,2020-07-27,3.0,0,11
2020,2020-07-28,3.0,0,11
2020,2020-07-29,3.0,0,12
2020,2020-07-30,3.0,0,12
2020,2020-07-31,3.0,0,12
2020,2020-08-01,2.0,0,11
2020,2020-08-02,2.0,0,10
2020,2020-08-03,3.0,0,12
2020,2020-08-04,2.0,0,10
2020,2020-08-05,3.0,0,13
2020,2020-08-06,3.0,0,12
2020,2020-08-07,3.0,0,13
2020,2020-08-08,2.0,0,11
2020,2020-08-09,2.0,0,9
2020,2020-08-10,3.0,0,11
2020,2020-08-11,3.0,0,11
2020,2020-08-12,3.0,0,11
2020,2020-08-13,3.0,0,11
2020,2020-08-14,3.0,0,12
2020,2020-08-15,2.0,0,11
2020,2020-08-16,1.0,0,7
2020,2020-08-17,3.0,0,11
2020,2020-08-18,3.0,0,12
2020,2020-08-19,3.0,0,11
2020,2020-08-20,3.0,0,12
2020,2020-08-21,3.0,0,13
2020,2020-08-22,2.0,0,11
2020,2020-08-23,2.0,0,9
2020,2020-08-24,3.0,0,11
2020,2020-08-25,3.0,0,11
2020,2020-08-26,3.0,0,11
2020,2020-08-27,3.0,0,11
2020,2020-08-28,3.0,0,11
2020,2020-08-29,2.0,0,10
2020,2020-08-30,2.0,0,9
2020,2020-08-31,3.0,0,11
2020,2020-09-01,3.0,0,11
2020,2020-09-02,3.0,0,11
2020,2020-09-03,3.0,0,12
2020,2020-09-04,3.0,0,13
2020,2020-09-05,2.0,0,11
2020,2020-09-06,2.0,0,9
2020,2020-09-07,2.0,0,9
2020,2020-09-08,3.0,0,11
2020,2020-09-09,3.0,0,12
2020,2020-09-10,3.0,0,12
2020,2020-09-11,3.0,0,13
2020,2020-09-12,3.0,0,13
2020,2020-09-13,2.0,0,9
2020,2020-09-14,3.0,0,11
2020,2020-09-15,3.0,0,11
2020,2020-09-16,3.0,0,12
2020,2020-09-17,3.0,0,11
2020,2020-09-18,3.0,0,12
2020,2020-09-19,2.0,0,11
2020,2020-09-20,2.0,0,8
2020,2020-09-21,2.0,0,9
2020,2020-09-22,3.0,0,11
2020,2020-09-23,3.0,0,12
2020,2020-09-24,3.0,0,12
2020,2020-09-25,4.0,0,14
2020,2020-09-26,3.0,0,12
2020,2020-09-27,2.0,0,9
2020,2020-09-28,3.0,0,11
2020,2020-09-29,3.0,0,11
2020,2020-09-30,3.0,0,11
2020,2020-10-01,3.0,0,12
2020,2020-10-02,3.0,0,12
2020,2020-10-03,3.0,0,12
2020,2020-10-04,2.0,0,9
2020,2020-10-05,3.0,0,11
2020,2020-10-06,3.0,0,11
2020,2020-10-07,3.0,0,11
2020,2020-10-08,3.0,0,11
2020,2020-10-09,3.0,0,13
2020,2020-10-10,3.0,0,13
2020,2020-10-11,2.0,0,10
2020,2020-10-12,2.0,0,8
2020,2020-10-13,3.0,0,10
2020,2020-10-14,3.0,0,11
2020,2020-10-15,3.0,0,12
2020,2020-10-16,3.0,0,11
2020,2020-10-17,3.0,0,12
2020,2020-10-18,2.0,0,10
2020,2020-10-19,3.0,0,11
2020,2020-10-20,3.0,0,11
2020,2020-10-21,3.0,0,11
2020,2020-10-22,3.0,0,11
2020,2020-10-23,3.0,0,13
2020,2020-10-24,3.0,0,12
2020,2020-10-25,2.0,0,9
2020,2020-10-26,3.0,0,10
2020,2020-10-27,3.0,0,11
2020,2020-10-28,3.0,0,11
2020,2020-10-29,3.0,0,11
2020,2020-10-30,3.0,0,12
2020,2020-10-31,3.0,0,11
2020,2020-11-01,2.0,0,8
2020,2020-11-02,3.0,0,11
2020,2020-11-03,3.0,0,10
2020,2020-11-04,3.0,0,17
2020,2020-11-05,3.0,0,18
2020,2020-11-06,3.0,0,17
2020,2020-11-07,3.0,0,17
